distance,k,sigma,eps,precision,recall,storage,preparationTime,predictionTime
cosine,3,0.5,0.3,0.9110369612476853,0.9060290628707002,19807691,1.2782390243134112,0.0008886531940343264
cosine,5,0.5,0.3,0.9029443030577781,0.9005007625826134,19807691,1.2114570373102462,0.001019264560112441
cosine,7,0.5,0.3,0.8946982176666209,0.8873936620911708,19807691,0.9119548019848875,0.0010138875716253016
cosine,9,0.5,0.3,0.8839926562184548,0.886916624300966,19807691,0.9254787524515458,0.0010128007803002679
cosine,11,0.5,0.3,0.8737664291962629,0.8860273682426706,19807691,0.903424690920535,0.001041655991942022
cosine,13,0.5,0.3,0.8813882560044477,0.8768691747161497,19807691,1.4118819129346163,0.0014011862437291502
cosine,15,0.5,0.3,0.8762790992725233,0.8736777664802576,19807691,0.9156883463545796,0.0012969932287797495
cosine,17,0.5,0.3,0.8679291055875261,0.8768344348415521,19807691,1.087896885591769,0.001437660156817941
cosine,19,0.5,0.3,0.8616909078998126,0.872952042026775,19807691,0.952993959381713,0.0014881723274240877
cosine,21,0.5,0.3,0.8632530924107245,0.8803296051516689,19807691,1.2605826608356319,0.0017409783919152258
