trainingSetSize,k,sigma,eps,precision,recall,storage,preparationTime,predictionTime
0.1,7,0.5,0.3,0.7812136944154577,0.8408610670892764,19807691,0.1465713282252027,0.0008777881619023237
0.1,7,0.95,0.3,0.9845818999303385,0.39086106708927626,19807691,0.11467782395254175,0.0007556746450927571
0.2,7,0.5,0.3,0.8195990537994692,0.859387997623292,19807691,0.22208645547803446,0.000758319828723399
0.2,7,0.95,0.3,0.9829983568725383,0.5337789661319072,19807691,0.2335916684162207,0.0007853097209523792
0.3,7,0.5,0.3,0.8395935076892563,0.8661222424988563,19807691,0.36224988273588554,0.001160891087398944
0.3,7,0.95,0.3,0.9853924843869056,0.5873386606210463,19807691,0.9254337050268501,0.0016243241263575352
0.4,7,0.5,0.3,0.8523174452705893,0.8770225093039522,19807691,0.4505309474529277,0.0007899073128423935
0.4,7,0.95,0.3,0.9879579019129329,0.6300786681767642,19807691,0.4548673678503635,0.0008342311234598329
0.5,7,0.5,0.3,0.87449420187863,0.8810746552543984,19807691,0.6087726976333443,0.0008528789834284506
0.5,7,0.95,0.3,0.9900319925990713,0.6482168330955778,19807691,0.5990921341666838,0.0008114710085354443
0.6,7,0.5,0.3,0.8760095470537685,0.8819964349376112,19807691,0.7286301058600468,0.0008281486487284106
0.6,7,0.95,0.3,0.9892464709081022,0.6648247177658942,19807691,0.6963754307004012,0.0008242352569811824
0.7,7,0.5,0.3,0.885397853344639,0.8850356294536817,19807691,0.8133281867094942,0.0008667448763940863
0.7,7,0.95,0.3,0.9904668134944782,0.6747426761678544,19807691,0.86350488837038,0.0008506012398214926
0.8,7,0.5,0.3,0.8985449010727448,0.8917577529232333,19807691,0.9415220121239152,0.0008854501810624403
0.8,7,0.95,0.3,0.9907186063609538,0.6859710218607017,19807691,1.0318077667941694,0.0009082851148649461
0.9,7,0.5,0.3,0.9064706419355439,0.9030783519081391,19807691,1.0669101092401165,0.0009492937158715973
0.9,7,0.95,0.3,0.9904115471164825,0.6986727456940223,19807691,1.0300259656333615,0.0010221301501779486
